ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
12,40,0.300,0.020,0.030,0.35,84.7578,84.7578,0.0000
12,40,0.300,0.020,0.040,0.35,78.1621,82.4170,0.0544
12,40,0.300,0.020,0.050,0.35,78.7697,78.7697,0.0000
12,40,0.300,0.020,0.060,0.35,75.4491,75.4491,0.0000
12,40,0.300,0.020,0.070,0.35,83.8323,83.8323,0.0000
12,40,0.300,0.030,0.030,0.35,77.5721,77.5721,0.0000
12,40,0.300,0.030,0.040,0.35,81.2194,81.2194,0.0000
12,40,0.300,0.030,0.050,0.35,76.7556,76.7556,0.0000
12,40,0.300,0.030,0.060,0.35,72.0186,75.9390,0.0544
12,40,0.300,0.030,0.070,0.35,79.2597,79.2597,0.0000
12,40,0.300,0.040,0.030,0.35,77.2455,77.2455,0.0000
12,40,0.300,0.040,0.040,0.35,79.3685,79.3685,0.0000
12,40,0.300,0.040,0.050,0.35,81.3283,81.3283,0.0000
12,40,0.300,0.040,0.060,0.35,73.7071,73.7071,0.0000
12,40,0.300,0.040,0.070,0.35,72.9450,72.9450,0.0000
12,40,0.300,0.050,0.030,0.35,84.7033,84.7033,0.0000
12,40,0.300,0.050,0.040,0.35,80.0762,80.0762,0.0000
12,40,0.300,0.050,0.050,0.35,86.0098,86.0098,0.0000
12,40,0.300,0.050,0.060,0.35,84.9755,84.9755,0.0000
12,40,0.300,0.050,0.070,0.35,76.2112,76.2112,0.0000
12,40,0.300,0.060,0.030,0.35,89.6570,89.6570,0.0000
12,40,0.300,0.060,0.040,0.35,84.4311,84.4311,0.0000
12,40,0.300,0.060,0.050,0.35,85.3021,85.3021,0.0000
12,40,0.300,0.060,0.060,0.35,78.1709,78.1709,0.0000
12,40,0.300,0.060,0.070,0.35,82.7436,82.7436,0.0000
12,40,0.300,0.070,0.030,0.35,85.0299,85.0299,0.0000
12,40,0.300,0.070,0.040,0.35,85.0844,85.0844,0.0000
12,40,0.300,0.070,0.050,0.35,70.3321,70.3321,0.0000
12,40,0.300,0.070,0.060,0.35,81.6004,81.6004,0.0000
12,40,0.300,0.070,0.070,0.35,82.6892,82.6892,0.0000
12,40,0.300,0.080,0.030,0.35,86.5542,86.5542,0.0000
12,40,0.300,0.080,0.040,0.35,84.5400,84.5400,0.0000
12,40,0.300,0.080,0.050,0.35,85.3021,85.3021,0.0000
12,40,0.300,0.080,0.060,0.35,80.4573,80.4573,0.0000
12,40,0.300,0.080,0.070,0.35,82.0904,82.0904,0.0000
-------------------------------------------
12,40,0.450,0.020,0.030,0.35,79.1508,79.1508,0.0000
12,40,0.450,0.020,0.040,0.35,75.1225,75.1225,0.0000
12,40,0.450,0.020,0.050,0.35,82.0359,82.0359,0.0000
12,40,0.450,0.020,0.060,0.35,78.8242,78.8242,0.0000
12,40,0.450,0.020,0.070,0.35,72.5640,72.5640,0.0000
12,40,0.450,0.030,0.030,0.35,82.3625,82.3625,0.0000
12,40,0.450,0.030,0.040,0.35,80.0218,80.0218,0.0000
12,40,0.450,0.030,0.050,0.35,82.3081,82.3081,0.0000
12,40,0.450,0.030,0.060,0.35,82.2537,82.2537,0.0000
12,40,0.450,0.030,0.070,0.35,76.2112,76.2112,0.0000
12,40,0.450,0.040,0.030,0.35,81.5460,81.5460,0.0000
12,40,0.450,0.040,0.040,0.35,83.8868,83.8868,0.0000
12,40,0.450,0.040,0.050,0.35,80.8928,80.8928,0.0000
12,40,0.450,0.040,0.060,0.35,81.4371,81.4371,0.0000
12,40,0.450,0.040,0.070,0.35,78.1709,78.1709,0.0000
12,40,0.450,0.050,0.030,0.35,80.4573,80.4573,0.0000
12,40,0.450,0.050,0.040,0.35,84.3223,84.3223,0.0000
12,40,0.450,0.050,0.050,0.35,86.0098,86.0098,0.0000
12,40,0.450,0.050,0.060,0.35,84.8666,84.8666,0.0000
12,40,0.450,0.050,0.070,0.35,82.3625,82.3625,0.0000
12,40,0.450,0.060,0.030,0.35,84.5400,84.5400,0.0000
12,40,0.450,0.060,0.040,0.35,73.3261,73.3261,0.0000
12,40,0.450,0.060,0.050,0.35,79.6952,79.6952,0.0000
12,40,0.450,0.060,0.060,0.35,74.3604,74.3604,0.0000
12,40,0.450,0.060,0.070,0.35,81.2738,81.2738,0.0000
12,40,0.450,0.070,0.030,0.35,80.0218,80.0218,0.0000
12,40,0.450,0.070,0.040,0.35,86.1187,86.1187,0.0000
12,40,0.450,0.070,0.050,0.35,83.0702,83.0702,0.0000
12,40,0.450,0.070,0.060,0.35,84.3223,84.3223,0.0000
12,40,0.450,0.070,0.070,0.35,75.0136,75.0136,0.0000
12,40,0.450,0.080,0.030,0.35,84.5400,84.5400,0.0000
12,40,0.450,0.080,0.040,0.35,86.0642,86.0642,0.0000
12,40,0.450,0.080,0.050,0.35,81.8726,81.8726,0.0000
12,40,0.450,0.080,0.060,0.35,81.2738,81.2738,0.0000
12,40,0.450,0.080,0.070,0.35,79.6407,79.6407,0.0000
-------------------------------------------
12,40,0.650,0.020,0.030,0.35,78.8786,78.8786,0.0000
12,40,0.650,0.020,0.040,0.35,81.4916,81.4916,0.0000
12,40,0.650,0.020,0.050,0.35,78.3686,82.6347,0.0544
12,40,0.650,0.020,0.060,0.35,74.1426,74.1426,0.0000
12,40,0.650,0.020,0.070,0.35,75.2314,75.2314,0.0000
12,40,0.650,0.030,0.030,0.35,85.5743,85.5743,0.0000
12,40,0.650,0.030,0.040,0.35,80.4028,80.4028,0.0000
12,40,0.650,0.030,0.050,0.35,72.7273,72.7273,0.0000
12,40,0.650,0.030,0.060,0.35,81.6549,81.6549,0.0000
12,40,0.650,0.030,0.070,0.35,67.5014,67.5014,0.0000
12,40,0.650,0.040,0.030,0.35,78.9330,78.9330,0.0000
12,40,0.650,0.040,0.040,0.35,87.8062,87.8062,0.0000
12,40,0.650,0.040,0.050,0.35,83.1791,83.1791,0.0000
12,40,0.650,0.040,0.060,0.35,77.5426,81.7637,0.0544
12,40,0.650,0.040,0.070,0.35,75.9935,75.9935,0.0000
12,40,0.650,0.050,0.030,0.35,83.5602,83.5602,0.0000
12,40,0.650,0.050,0.040,0.35,84.4311,84.4311,0.0000
12,40,0.650,0.050,0.050,0.35,88.1328,88.1328,0.0000
12,40,0.650,0.050,0.060,0.35,84.9755,84.9755,0.0000
12,40,0.650,0.050,0.070,0.35,75.3402,75.3402,0.0000
12,40,0.650,0.060,0.030,0.35,79.3685,79.3685,0.0000
12,40,0.650,0.060,0.040,0.35,86.2820,86.2820,0.0000
12,40,0.650,0.060,0.050,0.35,85.6287,85.6287,0.0000
12,40,0.650,0.060,0.060,0.35,75.7757,75.7757,0.0000
12,40,0.650,0.060,0.070,0.35,80.5117,80.5117,0.0000
12,40,0.650,0.070,0.030,0.35,85.0299,85.0299,0.0000
12,40,0.650,0.070,0.040,0.35,83.7235,83.7235,0.0000
12,40,0.650,0.070,0.050,0.35,84.2134,84.2134,0.0000
12,40,0.650,0.070,0.060,0.35,77.2999,77.2999,0.0000
